Date,Close,Volume,Open,High,Low
02/07/2025,17.48,5877474,17.77,17.9499,17.41
02/06/2025,17.89,7056320,17.49,18.12,17.4401
02/05/2025,17.80,5663599,16.94,17.82,16.93
02/04/2025,17.07,5692353,16.73,17.51,16.73
02/03/2025,17.64,9247611,17.44,17.98,17.382
01/31/2025,16.19,5329717,15.97,16.25,15.86
01/30/2025,16.14,7689113,16.49,16.70,16.025
01/29/2025,16.76,5628510,16.71,16.855,16.35
01/28/2025,16.29,7570397,16.59,16.845,16.28
01/27/2025,17.15,7871579,17.22,17.26,16.77
01/24/2025,18.12,6331628,17.85,18.31,17.64
01/23/2025,18.25,10105600,18.73,18.899,17.98
01/22/2025,18.54,7320741,17.86,18.60,17.7901
01/21/2025,17.73,9103495,17.99,18.09,17.575
01/17/2025,18.34,9260476,18.50,18.92,18.28
01/16/2025,19.94,16418320,19.09,20.0299,18.685
01/15/2025,19.12,13993080,18.73,19.185,18.42
01/14/2025,18.47,12135910,17.73,18.83,17.72
01/13/2025,18.22,14321670,18.47,18.75,17.86
01/10/2025,18.42,14921780,18.26,18.64,17.995
01/08/2025,17.11,13468150,16.60,17.135,16.48
01/07/2025,15.99,16343210,16.62,16.72,15.915
01/06/2025,17.16,16600110,17.01,17.255,16.495
01/03/2025,15.59,16484520,16.18,16.25,15.46
01/02/2025,17.01,14092920,17.23,17.62,16.86
12/31/2024,16.81,15119390,17.15,17.50,16.60
12/30/2024,18.03,30104430,18.63,19.48,17.69
12/27/2024,15.76,11302850,15.74,15.89,15.29
12/26/2024,15.37,10923510,15.34,15.42,15.09
12/24/2024,16.14,4116728,16.00,16.21,15.96
12/23/2024,15.63,7477606,15.67,15.73,15.24
12/20/2024,15.87,11632630,15.31,16.015,15.13
12/19/2024,15.40,9531347,14.85,15.435,14.7918
12/18/2024,14.54,6517339,14.49,14.70,14.30
12/17/2024,14.46,7641137,13.62,14.475,13.405
12/16/2024,13.95,5668406,13.84,14.0702,13.80
12/13/2024,14.23,7033007,14.57,14.60,14.155
12/12/2024,15.04,13176060,14.71,15.4195,14.49
12/11/2024,14.56,10133060,14.28,14.7448,14.28
12/10/2024,13.81,6877249,13.38,13.83,13.31
12/09/2024,13.77,6923590,13.76,13.955,13.59
12/06/2024,13.37,4222435,13.22,13.44,13.1501
12/05/2024,13.32,6637648,13.42,13.6552,13.20
12/04/2024,13.26,8384474,13.15,13.35,12.90
12/03/2024,13.21,9443950,13.60,13.60,13.13
12/02/2024,13.88,9656721,13.97,14.20,13.765
11/29/2024,14.43,4681747,14.35,14.645,14.2401
11/27/2024,13.81,9146968,14.05,14.18,13.81
11/26/2024,15.08,10170070,15.01,15.27,14.67
11/25/2024,14.79,11781630,14.98,15.4399,14.7206
11/22/2024,14.31,14878990,14.29,14.42,14.07
11/21/2024,15.15,11904810,15.39,15.52,14.81
11/20/2024,14.75,13846270,14.35,14.82,14.24
11/19/2024,13.87,8884403,13.79,14.18,13.705
11/18/2024,13.75,8381096,13.48,13.82,13.475
11/15/2024,13.37,7318165,13.10,13.42,13.0732
11/14/2024,13.15,8651354,13.79,13.9015,13.12
11/13/2024,14.11,9264042,13.49,14.14,13.43
11/12/2024,13.66,9680426,13.66,14.1385,13.4299
11/11/2024,13.80,13101920,13.68,13.88,13.56
11/08/2024,12.53,6011471,12.75,12.89,12.4102
11/07/2024,12.66,7980957,12.62,12.76,12.48
11/06/2024,12.87,7324749,12.79,13.115,12.68
11/05/2024,12.53,8676378,13.10,13.13,12.4427
11/04/2024,13.06,10459420,12.58,13.105,12.53
11/01/2024,12.48,7921995,12.72,12.7767,12.35
10/31/2024,12.71,12949420,12.97,13.07,12.61
10/30/2024,13.23,7399740,13.11,13.4393,13.05
10/29/2024,13.41,6109153,13.44,13.5497,13.2401
10/28/2024,13.34,11750290,13.43,13.5499,13.14
10/25/2024,14.45,6217889,14.10,14.535,14.02
10/24/2024,14.32,8660836,13.89,14.35,13.61
10/23/2024,13.82,7599923,13.51,13.965,13.395
10/22/2024,13.50,8756964,13.28,13.68,13.26
10/21/2024,13.25,6271564,13.12,13.275,13.09
10/18/2024,13.03,6993886,13.10,13.126,12.95
10/17/2024,13.31,5290686,13.55,13.649,13.2657
10/16/2024,13.44,8522250,13.77,13.79,13.3475
10/15/2024,14.01,4195181,14.22,14.355,13.9938
10/14/2024,13.99,5819824,14.35,14.41,13.98
10/11/2024,14.80,3820168,14.97,15.025,14.72
10/10/2024,15.13,5696499,14.74,15.185,14.63
10/09/2024,14.86,5305482,15.18,15.32,14.82
10/08/2024,15.25,4643188,15.43,15.60,15.23
10/07/2024,15.38,5846822,15.66,15.6701,15.22
10/04/2024,15.94,6125164,16.33,16.435,15.93
10/03/2024,16.68,5628926,16.64,16.80,16.475
10/02/2024,16.41,6496255,16.63,16.76,16.14
10/01/2024,16.37,6976805,16.25,16.53,16.05
09/30/2024,16.33,4405033,16.24,16.5742,16.21
09/27/2024,16.37,9982011,15.89,16.45,15.84
09/26/2024,15.47,7273373,16.01,16.035,15.345
09/25/2024,15.85,5305735,16.02,16.09,15.71
09/24/2024,15.81,5523810,15.88,16.08,15.605
09/23/2024,16.09,8030457,15.57,16.10,15.53
09/20/2024,15.34,6978556,14.57,15.40,14.51
09/19/2024,14.61,5843323,14.21,14.6199,14.08
09/18/2024,14.44,3834659,14.81,14.8195,14.375
09/17/2024,14.64,3924967,15.09,15.165,14.62
09/16/2024,14.86,4081766,14.36,14.985,14.33
09/13/2024,14.49,4517534,14.93,15.00,14.44
09/12/2024,14.83,5360459,14.09,15.03,14.04
09/11/2024,14.25,5735075,14.28,14.5958,14.16
09/10/2024,14.07,5551897,14.03,14.16,13.7901
09/09/2024,13.48,6567861,13.89,13.91,13.45
09/06/2024,14.32,4634085,14.21,14.37,14.02
09/05/2024,14.18,8653491,13.81,14.34,13.80
09/04/2024,13.46,4529403,14.02,14.0699,13.385
09/03/2024,13.89,7417936,13.21,13.96,13.03
08/30/2024,13.37,7076525,13.33,13.52,13.14
08/29/2024,13.43,8137712,12.75,13.47,12.71
08/28/2024,13.20,9308813,12.87,13.4144,12.755
08/27/2024,13.08,7738489,13.131,13.165,12.835
08/26/2024,13.33,7942522,13.54,13.705,13.26
08/23/2024,13.72,4328604,13.54,13.7351,13.53
08/22/2024,13.81,9987347,14.13,14.20,13.58
08/21/2024,14.56,4043988,14.59,14.695,14.245
08/20/2024,14.65,3978899,14.55,14.6756,14.43
08/19/2024,14.69,4987679,14.48,14.85,14.48
08/16/2024,14.07,4797425,14.33,14.415,14.01
08/15/2024,14.57,5999116,14.80,15.22,14.53
08/14/2024,14.74,6560889,14.73,15.07,14.565
08/13/2024,14.33,4345969,14.75,14.825,14.145
08/12/2024,14.40,5573246,14.61,14.74,14.27
08/09/2024,14.28,3717831,14.22,14.35,13.94
08/08/2024,14.18,7151119,13.57,14.42,13.4332
08/07/2024,13.86,4903298,13.78,14.0227,13.63
08/06/2024,13.32,5636067,13.29,13.445,12.973
08/05/2024,12.94,7359049,12.86,13.055,12.575
08/02/2024,13.05,6404980,13.31,13.38,12.71
08/01/2024,13.09,10103490,13.97,14.06,13.01
07/31/2024,13.54,7292117,13.63,13.8001,13.3899
07/30/2024,14.01,5705053,13.26,14.115,13.2247
07/29/2024,13.59,9352017,13.51,13.68,13.23
07/26/2024,13.51,8509671,13.68,13.785,13.49
07/25/2024,13.75,8785424,14.01,14.17,13.65
07/24/2024,14.31,4630314,14.29,14.565,14.23
07/23/2024,14.86,3823996,14.89,14.95,14.6201
07/22/2024,15.01,6541812,14.75,15.205,14.74
07/19/2024,14.30,3667729,14.08,14.39,13.95
07/18/2024,14.11,6383253,13.92,14.35,13.8901
07/17/2024,13.74,10479300,14.23,14.25,13.58
07/16/2024,14.61,4602600,14.65,14.84,14.51
07/15/2024,14.48,8596803,14.85,15.028,14.3901
07/12/2024,15.50,4567879,15.21,15.73,15.1901
07/11/2024,15.22,4023920,15.32,15.415,15.14
07/10/2024,15.51,4097422,15.65,15.74,15.3434
07/09/2024,15.73,3852023,16.16,16.21,15.66
07/08/2024,15.86,3377375,15.83,15.965,15.69
07/05/2024,15.60,4583824,15.96,16.09,15.50
07/03/2024,16.35,3486787,16.25,16.58,16.12
07/02/2024,16.41,5401957,16.35,16.43,16.15
07/01/2024,16.57,4955638,17.08,17.215,16.5443
06/28/2024,17.43,5357809,17.92,17.99,17.34
06/27/2024,17.98,5931793,18.13,18.46,17.87
06/26/2024,18.31,4092304,18.79,18.79,18.26
06/25/2024,18.99,3620137,19.17,19.49,18.92
06/24/2024,19.70,3462669,18.96,19.73,18.92
06/21/2024,18.96,3505818,19.11,19.2899,18.88
06/20/2024,19.03,4698094,19.45,19.465,18.93
06/18/2024,19.94,4244717,19.23,20.01,19.23
06/17/2024,19.16,4276117,19.31,19.37,18.955
06/14/2024,19.86,3853747,20.18,20.37,19.71
06/13/2024,20.11,5317910,20.60,20.72,19.89
06/12/2024,20.83,5717964,21.02,21.39,20.53
06/11/2024,21.53,7231556,20.82,21.56,20.585
06/10/2024,20.19,12210500,20.91,21.16,19.62
06/07/2024,20.18,11183840,19.44,20.3254,19.33
06/06/2024,19.30,8101310,19.47,19.70,18.76
06/05/2024,18.94,7359192,18.20,19.0899,18.15
06/04/2024,18.02,9818105,18.65,18.84,17.63
06/03/2024,18.92,8803528,18.71,18.995,18.00
05/31/2024,17.59,9163603,17.74,17.96,17.39
05/30/2024,17.56,6480293,17.79,18.00,17.54
05/29/2024,18.22,6800033,18.87,18.88,18.18
05/28/2024,19.36,5036406,18.91,19.4665,18.773
05/24/2024,19.02,7827125,19.62,19.62,18.92
05/23/2024,20.12,19459520,21.43,21.61,19.81
05/22/2024,20.55,11201560,19.60,20.91,19.50
05/21/2024,19.49,7278543,19.57,19.9009,19.16
05/20/2024,19.82,9304681,19.26,19.865,19.26
05/17/2024,19.10,7106200,18.58,19.19,18.58
05/16/2024,18.17,12255230,18.04,18.755,17.89
05/15/2024,17.60,7566758,17.09,17.73,16.93
05/14/2024,17.17,6484441,17.10,17.53,17.00
05/13/2024,17.31,6564782,16.68,17.44,16.6699
05/10/2024,16.52,4684704,16.70,16.815,16.455
05/09/2024,16.92,8773208,16.26,16.94,16.23
05/08/2024,15.95,5676050,16.34,16.381,15.85
05/07/2024,16.17,5054830,16.01,16.2501,15.91
05/06/2024,16.06,8740802,16.17,16.53,15.99
05/03/2024,15.67,11410280,15.07,15.7847,14.8731
05/02/2024,14.86,7709392,14.44,14.975,14.40
05/01/2024,14.14,7019894,14.19,14.26,13.98
04/30/2024,14.44,7738315,14.97,14.99,14.31
04/29/2024,14.91,10053740,14.309,14.9682,14.292
04/26/2024,14.06,7256948,14.13,14.24,13.95
04/25/2024,14.37,5896823,14.27,14.5442,14.11
04/24/2024,14.36,8950974,14.90,14.94,14.3173
04/23/2024,15.44,5497055,14.94,15.50,14.93
04/22/2024,15.04,6189361,14.89,15.09,14.78
04/19/2024,14.52,6256852,14.71,14.80,14.38
04/18/2024,14.42,7205227,14.47,14.60,14.34
04/17/2024,14.38,5735419,14.16,14.395,13.98
04/16/2024,14.48,13329070,14.15,15.00,13.865
04/15/2024,14.14,9363011,14.41,14.585,14.073
04/12/2024,14.89,4676385,14.68,14.895,14.62
04/11/2024,14.85,9391960,15.37,15.39,14.695
04/10/2024,15.67,5986002,15.98,16.04,15.63
04/09/2024,15.85,7835751,15.86,16.085,15.43
04/08/2024,15.41,5459266,15.10,15.47,15.045
04/05/2024,14.87,5235932,14.91,15.245,14.82
04/04/2024,14.90,8334318,15.39,15.405,14.80
04/03/2024,15.46,5600097,15.86,15.86,15.35
04/02/2024,15.48,5999172,15.11,15.725,15.06
04/01/2024,15.39,8293010,15.27,15.49,15.07
03/28/2024,14.57,8144457,14.57,14.92,14.365
03/27/2024,14.35,7758726,14.45,14.50,14.25
03/26/2024,14.96,5762270,15.09,15.145,14.84
03/25/2024,15.04,4823059,14.99,15.1999,14.89
03/22/2024,15.11,3657068,15.01,15.228,14.98
03/21/2024,15.32,5399757,15.32,15.3801,15.03
03/20/2024,15.37,4423066,15.35,15.53,15.31
03/19/2024,15.64,4416397,15.60,15.77,15.3801
03/18/2024,15.34,5285905,15.50,15.57,15.04
03/15/2024,15.13,6186040,15.41,15.435,14.875
03/14/2024,15.57,6018113,15.00,15.776,14.95
03/13/2024,14.91,6425999,14.89,15.20,14.83
03/12/2024,15.31,6887731,16.06,16.08,15.14
03/11/2024,15.69,4374471,15.95,15.955,15.675
03/08/2024,16.13,4150226,16.13,16.431,16.01
03/07/2024,16.03,6188898,17.00,17.29,16.00
03/06/2024,17.29,3053055,17.61,17.6203,17.19
03/05/2024,17.51,5365961,17.21,17.9555,16.96
03/04/2024,17.30,9923390,17.36,17.77,17.015
03/01/2024,16.42,3665962,16.34,16.6022,16.27
02/29/2024,16.54,6082784,16.595,17.1366,16.48
02/28/2024,16.73,8935881,16.53,17.0299,16.48
02/27/2024,16.17,7298720,16.17,16.425,15.83
02/26/2024,15.62,10521090,16.16,16.18,15.3307
02/23/2024,15.21,10024540,15.58,15.60,15.1123
02/22/2024,16.28,8454084,16.16,16.47,15.66
02/21/2024,16.62,12029350,16.51,16.69,16.0801
02/20/2024,14.77,8088508,14.71,14.9283,14.56
02/16/2024,14.99,6755869,14.85,15.23,14.824
02/15/2024,14.81,11075190,15.07,15.17,14.63
02/14/2024,14.89,11068090,15.29,15.4874,14.78
02/13/2024,15.52,11384170,15.62,15.735,15.34
02/12/2024,16.17,10455520,17.06,17.26,16.06
02/09/2024,17.15,6839645,17.41,17.46,16.94
02/08/2024,17.42,9906729,18.06,18.15,17.30
02/07/2024,18.24,4740442,18.68,18.70,18.12
02/06/2024,18.54,5555181,18.75,18.96,18.50
02/05/2024,19.25,4360728,19.22,19.46,19.01
02/02/2024,19.36,6514331,19.15,19.445,19.04
02/01/2024,18.91,5781520,19.42,19.64,18.84
01/31/2024,19.63,6201982,19.50,19.9699,19.38
01/30/2024,19.40,5834672,19.37,19.61,19.055
01/29/2024,19.13,5795181,19.57,19.62,18.955
01/26/2024,20.14,8125707,19.95,20.23,19.3701
01/25/2024,20.10,8717853,21.08,21.12,19.9601
01/24/2024,21.06,14022530,20.66,21.14,20.35
01/23/2024,20.12,2500000,19.44,20.20,19.40
01/22/2024,19.68,6373055,19.68,20.00,19.56
01/19/2024,20.80,6796090,21.56,21.60,20.76
01/18/2024,22.24,9471080,23.00,23.00,21.96
01/17/2024,23.28,4653523,23.04,23.96,22.76
01/16/2024,23.12,10722650,23.96,24.35,23.08
01/12/2024,27.28,17415325,27.08,27.36,25.96
01/11/2024,25.16,13421130,24.56,26.20,24.12
01/10/2024,24.60,12598428,24.80,25.22,23.9604
01/09/2024,25.92,21309090,25.56,27.48,24.60
01/08/2024,24.04,9126158,22.24,24.40,22.00
01/05/2024,23.36,8500310,21.924,23.52,21.88
01/04/2024,23.08,11130103,22.88,23.20,22.20
01/03/2024,21.76,6721218,21.68,22.04,21.28
01/02/2024,20.76,4600870,20.96,21.04,20.44
12/29/2023,20.28,3644280,20.40,20.72,20.16
12/28/2023,20.56,5608535,20.40,20.84,20.3092
12/27/2023,19.80,5584225,20.40,20.80,19.68
12/26/2023,19.72,5146395,19.56,19.76,19.32
12/22/2023,20.16,3390703,19.60,20.24,19.56
12/21/2023,19.96,5622958,19.36,20.16,19.14
12/20/2023,18.80,4446380,19.28,19.48,18.72
12/19/2023,19.60,5454595,18.84,19.68,18.52
12/18/2023,19.56,4911858,20.20,20.24,19.50
12/15/2023,19.32,6457753,19.40,19.96,19.16
12/14/2023,19.04,5652848,18.56,19.08,18.36
12/13/2023,18.40,5763598,18.08,18.80,18.04
12/12/2023,18.08,6672620,18.596,18.88,18.00
12/11/2023,19.24,10165058,18.36,19.3196,18.12
12/08/2023,20.08,3927753,20.32,20.56,20.00
12/07/2023,20.28,5495655,20.20,20.68,19.88
12/06/2023,20.24,8085705,21.40,21.48,20.04
12/05/2023,21.36,3711633,21.88,21.96,21.08
12/04/2023,21.36,5489580,21.12,21.40,20.88
12/01/2023,21.80,3702808,21.80,22.40,21.7204
11/30/2023,22.08,4460965,22.28,22.40,21.76
11/29/2023,22.04,5735955,22.52,22.60,22.00
11/28/2023,22.08,8394668,22.80,23.16,22.00
11/27/2023,23.20,4348000,23.00,23.24,22.72
11/24/2023,23.64,2641795,23.36,23.88,23.24
11/22/2023,23.92,3746710,23.56,24.04,23.32
11/21/2023,23.56,4155420,23.80,24.20,23.48
11/20/2023,23.96,4505618,24.00,24.40,23.96
11/17/2023,24.64,7392473,24.56,24.72,24.16
11/16/2023,25.48,6122453,26.28,26.48,25.20
11/15/2023,26.24,4995368,26.52,27.18,26.20
11/14/2023,25.84,5518078,26.24,26.68,25.72
11/13/2023,26.88,5731040,26.32,27.04,26.04
11/10/2023,25.32,3656203,25.40,25.436,25.16
11/09/2023,25.36,6067540,25.68,25.7596,25.20
11/08/2023,26.16,7214610,25.84,26.46,25.44
11/07/2023,26.44,6042550,25.94,26.5596,25.88
11/06/2023,27.28,5901560,27.68,27.84,27.04
11/03/2023,29.04,2292267,29.12,29.76,29.00
11/02/2023,29.16,3185545,28.56,29.20,28.40
11/01/2023,29.08,4012685,28.66,29.60,28.52
10/31/2023,30.00,5871485,29.02,30.20,28.96
10/30/2023,27.80,3245710,27.80,28.12,27.68
10/27/2023,28.80,5012355,29.68,29.76,28.72
10/26/2023,29.24,6092195,28.28,29.4532,28.12
10/25/2023,28.28,3165205,28.00,28.32,27.68
10/24/2023,27.84,2866948,27.20,27.84,27.04
10/23/2023,27.24,3044750,27.08,27.40,26.96
10/20/2023,27.12,4099478,27.12,27.32,27.00
10/19/2023,27.64,4897793,28.60,28.72,27.60
10/18/2023,28.72,2539623,29.32,29.36,28.60
10/17/2023,28.72,3921015,28.84,28.9924,28.36
10/16/2023,29.12,5720703,29.20,29.40,28.56
10/13/2023,30.00,3864490,30.32,30.52,29.92
10/12/2023,31.20,4165800,31.12,31.9196,30.88
10/11/2023,31.60,5684853,30.68,31.80,30.04
10/10/2023,31.60,3745823,31.60,31.76,31.0928
10/09/2023,31.52,4717163,31.16,31.7196,30.96
10/06/2023,30.96,8161208,29.84,31.32,29.70
10/05/2023,29.64,7249935,28.20,29.804,28.16
10/04/2023,27.92,4580990,28.32,28.40,27.48
10/03/2023,27.44,3991113,26.96,27.60,26.80
10/02/2023,26.52,3996060,26.84,27.08,26.40
09/29/2023,27.32,3854103,26.92,27.72,26.92
09/28/2023,27.36,3918955,27.36,27.72,27.00
09/27/2023,26.88,3268203,26.68,27.40,26.68
09/26/2023,26.44,4016278,26.44,26.88,26.28
09/25/2023,26.96,2890475,26.96,27.32,26.76
09/22/2023,26.80,2896090,26.72,26.88,26.44
09/21/2023,26.48,6223483,27.20,27.48,26.32
09/20/2023,27.16,3572363,27.12,27.40,27.04
09/19/2023,28.12,4768743,28.00,28.52,27.76
09/18/2023,27.80,3606085,27.44,27.96,27.2404
09/15/2023,27.24,3182580,27.64,27.9056,27.12
09/14/2023,27.72,5912875,28.32,28.6324,27.64
09/13/2023,27.80,5935260,27.60,28.52,27.12
09/12/2023,28.20,7909760,27.32,28.56,26.92
09/11/2023,26.84,2858785,26.52,27.10,26.52
09/08/2023,26.84,3881723,26.80,27.144,26.56
09/07/2023,26.60,5453513,25.72,26.84,25.68
09/06/2023,25.92,5080503,25.80,26.12,25.68
09/05/2023,26.60,6233553,26.64,26.92,26.36
09/01/2023,28.20,3656403,28.92,29.34,28.20
08/31/2023,28.44,5345530,28.32,29.40,27.80
08/30/2023,28.80,4594283,27.84,28.80,27.6948
08/29/2023,27.44,4157863,27.36,27.60,26.88
08/28/2023,27.40,6489880,28.72,28.72,27.20
08/25/2023,27.44,3717233,26.72,27.48,26.52
08/24/2023,26.96,6643588,26.28,27.48,25.96
08/23/2023,26.44,5622703,26.88,26.94,26.36
08/22/2023,27.12,3948948,27.92,28.00,26.96
08/21/2023,27.88,3226888,28.20,28.3548,27.80
08/18/2023,27.76,3312123,27.72,27.9828,27.44
08/17/2023,28.28,2319999,28.36,28.72,28.12
08/16/2023,28.00,3509843,28.24,28.24,27.68
08/15/2023,28.68,5192025,29.08,29.12,28.48
08/14/2023,30.08,2479559,29.88,30.16,29.56
08/11/2023,29.96,3823873,29.12,30.00,29.08
08/10/2023,29.92,6553710,30.92,31.08,29.56
08/09/2023,31.88,8140653,32.20,32.32,31.32
08/08/2023,30.08,4489385,29.48,30.08,29.2404
08/07/2023,29.60,5061833,28.96,29.60,28.82
08/04/2023,27.80,3451995,28.00,28.02,27.48
08/03/2023,27.52,4410060,27.32,27.80,27.04
08/02/2023,26.68,4896290,26.92,27.00,26.40
08/01/2023,27.68,3700848,27.32,27.70,27.24
07/31/2023,28.44,2845788,28.20,28.44,28.04
07/28/2023,28.36,3917080,28.56,28.582,27.88
07/27/2023,28.00,6441535,28.32,28.48,27.40
07/26/2023,28.88,3492288,28.68,29.04,28.48
07/25/2023,29.36,3669010,28.88,29.746,28.80
07/24/2023,28.96,3538543,28.72,29.2396,28.56
07/21/2023,29.08,3217785,28.96,29.2796,28.80
07/20/2023,29.12,6412285,29.04,29.60,28.88
07/19/2023,28.00,3522488,28.08,28.36,27.68
07/18/2023,28.00,5188953,27.76,28.2796,27.56
07/17/2023,27.08,2787928,26.88,27.28,26.56
07/14/2023,27.16,4998743,27.76,27.80,26.64
07/13/2023,27.28,5328598,27.96,28.32,27.14
07/12/2023,28.32,5187988,28.36,28.60,28.00
07/11/2023,29.20,3284218,28.72,29.36,28.64
07/10/2023,28.44,5166888,28.32,28.7412,28.08
07/07/2023,27.44,5485143,27.92,28.5604,27.12
07/06/2023,28.16,4914453,28.36,28.7148,27.60
07/05/2023,28.44,3338050,29.52,29.58,28.30
07/03/2023,28.96,2376442,28.88,29.04,28.484
06/30/2023,29.68,6161115,28.60,30.16,28.44
06/29/2023,28.72,5389775,28.20,29.28,28.16
06/28/2023,28.36,7081003,29.84,29.84,28.28
06/27/2023,29.88,4234005,30.36,30.7996,29.44
06/26/2023,30.80,4651055,30.90,31.32,30.32
06/23/2023,30.20,6353550,28.00,30.40,27.96
06/22/2023,28.68,3728538,28.56,28.88,27.86
06/21/2023,28.56,4199930,27.44,28.56,27.38
06/20/2023,27.40,4786560,28.80,29.04,27.36
06/16/2023,28.76,4764755,28.16,29.16,27.7172
06/15/2023,28.08,8968968,26.72,28.20,26.54
06/14/2023,25.80,2304742,25.80,25.96,25.44
06/13/2023,25.68,3301940,25.92,25.96,25.3604
